Facility_Name,ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Latitude,Longitude,"Population, 2021",Facilities_Per_Capita,address,point,latitude,longitude
Main Street Terrace,Main Street Terrace,Toronto,77 Main Street,M4E2Y6,-8827479.20489008,5416300.67659809,2794356.0,0.0006098006123772347,"77 Main Street, Toronto, Ontario, Canada",POINT (-79.29862757757428 43.681579),43.681579,-79.29862757757428
Majestic City Pharmacy,Majestic City Pharmacy,Toronto,2900 Markham Road,M1X1E6,-8821967.57652582,5438372.48286418,2794356.0,0.0006098006123772347,"2900 Markham Road, Toronto, Ontario, Canada",POINT (-79.24847188 43.82469154),43.82469154,-79.24847188
Malvern Drug Mart,Malvern Drug Mart,Toronto,1152 Morningside Avenue,M1B3A4,-8816541.12983591,5434661.48181123,2794356.0,0.0006098006123772347,"1152 Morningside Avenue, Toronto, Ontario, Canada",POINT (-79.199409 43.8005731),43.8005731,-79.199409
Malvern Family Resource Centre,Malvern Family Resource Centre - Seniors Centre,Toronto,90 Littles Road,M1B5E2,-8817101.64573595,5437389.49082936,2794356.0,0.0006098006123772347,"90 Littles Road, Toronto, Ontario, Canada",POINT (-79.20520613333333 43.8185166),43.8185166,-79.20520613333333
Malvern Sleep Clinic,Malvern Sleep Clinic,Toronto,1371 Neilson Road,M1B4Z8,-8818828.37801739,5435976.10772115,2794356.0,0.0006098006123772347,"1371 Neilson Road, Toronto, Ontario, Canada",POINT (-79.2212397 43.8092341),43.8092341,-79.2212397
Malvern Ultrasound & Mammography,Malvern Ultrasound & Mammography,Toronto,18 Wynford Drive,M3C3S2,-8831789.42878189,5422807.50050269,2794356.0,0.0006098006123772347,"18 Wynford Drive, Toronto, Ontario, Canada",POINT (-79.337299240074 43.723826),43.723826,-79.337299240074
"Mamaweswen, the North Shore Tribal Council","Mamaweswen, the North Shore Tribal Council",Toronto,49 Indian Road,P0P1B0,-8844711.85168309,5410039.87362857,2794356.0,0.0006098006123772347,"49 Indian Road, Toronto, Ontario, Canada",POINT (-79.453384 43.6402649),43.6402649,-79.453384
Maple Drug Mart,Maple Drug Mart,Toronto,2645 Lawrence Avenue East,M1P2S2,-8823574.99657703,5427043.09305205,2794356.0,0.0006098006123772347,"2645 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.26295546666667 43.75181095833334),43.75181095833334,-79.26295546666667
Maple Health Pharmacy,Maple Health Pharmacy,Toronto,1051 Markham Road,M1H2Y5,-8819947.15003182,5430677.68908963,2794356.0,0.0006098006123772347,"1051 Markham Road, Toronto, Ontario, Canada",POINT (-79.23077828683986 43.774260463820774),43.774260463820774,-79.23077828683986
Maple Leaf Medical Pharmacy,Maple Leaf Medical Pharmacy,Toronto,14 College Street,M9V1H3,-8836976.96158066,5413194.18036608,2794356.0,0.0006098006123772347,"14 College Street, Toronto, Ontario, Canada",POINT (-79.3839178 43.661431),43.661431,-79.3839178
Margaret's Housing and Community Support Services,Margaret's Housing and Community Support Services,Toronto,158 Madison Avenue,M5R2S5,-8839408.27944713,5415128.93841267,2794356.0,0.0006098006123772347,"158 Madison Avenue, Toronto, Ontario, Canada",POINT (-79.40565620285713 43.67402186857143),43.67402186857143,-79.40565620285713
Margis Pharmacy,Margis Pharmacy,Toronto,38 Howard Park Avenue,M6R0A7,-8844345.72187787,5411719.86518395,2794356.0,0.0006098006123772347,"38 Howard Park Avenue, Toronto, Ontario, Canada",POINT (-79.44995199097744 43.651915200000005),43.651915200000005,-79.44995199097744
Maritime Laboratories,Maritime Laboratories,Toronto,202 St Clair Avenue West,M4V1R2,-8839157.20946759,5417053.9263077,2794356.0,0.0006098006123772347,"202 St Clair Avenue West, Toronto, Ontario, Canada",POINT (-79.4033826 43.6864473),43.6864473,-79.4033826
Markham,Markham-Lawrence X-Ray and Ultrasound,Toronto,3585 Lawrence Avenue East,M1G1P4,-8819186.44829148,5428289.57122045,2794356.0,0.0006098006123772347,"3585 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.2239539 43.7599632),43.7599632,-79.2239539
Markham Corners Pharmacy,Markham Corners Pharmacy,Toronto,5113 Sheppard Avenue East,M1S4N8,-8820859.48005057,5433397.82600687,2794356.0,0.0006098006123772347,"5113 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.2394415 43.79357983333334),43.79357983333334,-79.2394415
Markham Discount Pharmacy,Markham Discount Pharmacy,Toronto,6055 Steeles Avenue East,M1X0A7,-8822026.01925849,5440180.85677771,2794356.0,0.0006098006123772347,"6055 Steeles Avenue East, Toronto, Ontario, Canada",POINT (-79.2507809 43.83655),43.83655,-79.2507809
Markham Eglinton Pharmacy,Markham Eglinton Pharmacy,Toronto,3250 Eglinton Avenue East,M1J2H6,-8818341.98976627,5425943.99929453,2794356.0,0.0006098006123772347,"3250 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2165351 43.7438573),43.7438573,-79.2165351
Markham McNicoll X,Markham McNicoll X-Ray & Ultrasound Inc.,Toronto,2901 Markham Road,M1X0B6,-8821813.72185759,5438381.43212066,2794356.0,0.0006098006123772347,"2901 Markham Road, Toronto, Ontario, Canada",POINT (-79.2499524 43.8316682),43.8316682,-79.2499524
Markie Pharmacy Ltd,Markie Pharmacy Ltd,Toronto,1240 Bay Street,M5R2A7,-8837688.93877987,5414561.46218559,2794356.0,0.0006098006123772347,"1240 Bay Street, Toronto, Ontario, Canada",POINT (-79.3903555 43.6703246),43.6703246,-79.3903555
Markland Wood Pharmacy Limited,Markland Wood Pharmacy Limited,Toronto,4335 Bloor Street West,M9C2A5,-8858327.33860202,5408490.22318077,2794356.0,0.0006098006123772347,"4335 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.57542965252547 43.63077715),43.63077715,-79.57542965252547
Marlee Compounding Pharmacy,Marlee Compounding Pharmacy,Toronto,262 Marlee Avenue,M6B3H7,-8843543.1862729,5420023.00557448,2794356.0,0.0006098006123772347,"262 Marlee Avenue, Toronto, Ontario, Canada",POINT (-79.4427182826087 43.7057974173913),43.7057974173913,-79.4427182826087
Marshall's Drug Store,Marshall's Drug Store,Toronto,412 Summerhill Avenue,M4W2E4,-8836143.81311571,5416994.65913923,2794356.0,0.0006098006123772347,"412 Summerhill Avenue, Toronto, Ontario, Canada",POINT (-79.3763473 43.6860757),43.6860757,-79.3763473
Martin Grove Pharmacy,Martin Grove Pharmacy,Toronto,135 Martin Grove Road,M9B4K8,-8855325.27457431,5411311.04245338,2794356.0,0.0006098006123772347,"135 Martin Grove Road, Toronto, Ontario, Canada",POINT (-79.5893732 43.7321869),43.7321869,-79.5893732
Massey Centre for Women,Massey Centre for Women,Toronto,40 Humewood Drive,M6C2W4,-8841820.40583338,5416685.70631953,2794356.0,0.0006098006123772347,"40 Humewood Drive, Toronto, Ontario, Canada",POINT (-79.42741477857143 43.6839775),43.6839775,-79.42741477857143
Maynard Nursing Home,Maynard Nursing Home,Toronto,28 Halton Street,M6J1R3,-8840902.4653123,5411253.1044141,2794356.0,0.0006098006123772347,"28 Halton Street, Toronto, Ontario, Canada",POINT (-79.41911563376812 43.648773500000004),43.648773500000004,-79.41911563376812
McCowan Retirement Residence,McCowan Retirement Residence,Toronto,2881 Eglinton Avenue East,M1J0A2,-8820932.46110873,5425007.99901659,2794356.0,0.0006098006123772347,"2881 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2398504218088 43.738121),43.738121,-79.2398504218088
McNicoll Manor/Moll Berczy Haus,McNicoll Manor/Moll Berczy Haus,Toronto,1020 McNicoll Avenue,M1W2J6,-8831643.14383904,5435432.42841805,2794356.0,0.0006098006123772347,"1020 McNicoll Avenue, Toronto, Ontario, Canada",POINT (-79.3361316 43.8042581),43.8042581,-79.3361316
Mccall Centre Long Term Care,Mccall Centre Long Term Care,Toronto,140 Sherway Drive,M9C1A4,-8856802.07233502,5405290.72090312,2794356.0,0.0006098006123772347,"140 Sherway Drive, Toronto, Ontario, Canada",POINT (-79.56208541324628 43.610069249999995),43.610069249999995,-79.56208541324628
Mda Discount Pharmacy,Mda Discount Pharmacy,Toronto,4125 Lawrence Avenue East,M1E2S2,-8815688.64517542,5429384.3509801,2794356.0,0.0006098006123772347,"4125 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.1931728 43.76672805),43.76672805,-79.1931728
Med,Med-Health Laboratories Ltd.,Toronto,1315 Finch Avenue West,M3J2G6,-8848730.74133556,5428896.73513357,2794356.0,0.0006098006123772347,"1315 Finch Avenue West, Toronto, Ontario, Canada",POINT (-79.49019715 43.763535600000004),43.763535600000004,-79.49019715
Med Image Diagnostic Centre,Med Image Diagnostic Centre,Toronto,31 Tapscott Road,M1B4Y7,-8818882.33457458,5435510.24697177,2794356.0,0.0006098006123772347,"31 Tapscott Road, Toronto, Ontario, Canada",POINT (-79.2228347 43.8068306),43.8068306,-79.2228347
Medcan Health Management Inc.,Medcan Health Management Inc.,Toronto,150 York Street,M5H3S5,-8837059.42705944,5411378.5193426,2794356.0,0.0006098006123772347,"150 York Street, Toronto, Ontario, Canada",POINT (-79.384275 43.649284),43.649284,-79.384275
Medcentral Pharmacy,Medcentral Pharmacy,Toronto,20 Drewry Avenue,M2M1C8,-8840807.07564064,5432554.80657115,2794356.0,0.0006098006123772347,"20 Drewry Avenue, Toronto, Ontario, Canada",POINT (-79.4175354 43.7871343),43.7871343,-79.4175354
Medi,Medi-Place Pharmacy,Toronto,3300 Bloor Street West,M8X2W8,-8852388.65527523,5410707.09546751,2794356.0,0.0006098006123772347,"3300 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.5232601 43.6452406),43.6452406,-79.5232601
Medi Choice Pharmacy,Medi Choice Pharmacy,Toronto,842 Gerrard Street East,M4M1Y7,-8832450.64429331,5414174.75123608,2794356.0,0.0006098006123772347,"842 Gerrard Street East, Toronto, Ontario, Canada",POINT (-79.3432152 43.6677302),43.6677302,-79.3432152
Medi Pharm Pharmacy,Medi Pharm Pharmacy,Toronto,29 Gervais Drive,M3C1Z1,-8831666.95507813,5422968.31671053,2794356.0,0.0006098006123772347,"29 Gervais Drive, Toronto, Ontario, Canada",POINT (-79.336421 43.723639),43.723639,-79.336421
Medi Plus Pharmacy,Medi Plus Pharmacy,Toronto,1111 Albion Road,M9V1A9,-8857229.52804772,5424841.52365637,2794356.0,0.0006098006123772347,"1111 Albion Road, Toronto, Ontario, Canada",POINT (-79.5658425 43.7370673),43.7370673,-79.5658425
Medicare Drug Mart,Medicare Drug Mart,Toronto,2772 Danforth Avenue,M4C1L7,-8827298.24392584,5417523.85914608,2794356.0,0.0006098006123772347,"2772 Danforth Avenue, Toronto, Ontario, Canada",POINT (-79.29702992083334 43.68937151666667),43.68937151666667,-79.29702992083334
Medicare Pharmacy,Medicare Pharmacy,Toronto,3341 Markham Road,M1X0A5,-8822143.70622415,5440036.77751743,2794356.0,0.0006098006123772347,"3341 Markham Road, Toronto, Ontario, Canada",POINT (-79.25047426288555 43.8356175),43.8356175,-79.25047426288555
Medicarlab Diagnostic Lab Ltd,Medicarlab Diagnostic Lab Ltd,Toronto,400 The East Mall,M9B3Z9,-8856641.4160459,5410906.57606206,2794356.0,0.0006098006123772347,"400 The East Mall, Toronto, Ontario, Canada",POINT (-79.5603289 43.6473885),43.6473885,-79.5603289
Medicine Cabinet,Medicine Cabinet,Toronto,2081 Lake Shore Boulevard West,M8V3Z4,-8847291.85899341,5408405.68049579,2794356.0,0.0006098006123772347,"2081 Lake Shore Boulevard West, Toronto, Ontario, Canada",POINT (-79.4764748 43.6303099),43.6303099,-79.4764748
Medicine Hut,Medicine Hut,Toronto,1183 Brimley Road,M1P3G5,-8823097.85897559,5429299.83254655,2794356.0,0.0006098006123772347,"1183 Brimley Road, Toronto, Ontario, Canada",POINT (-79.25969357790527 43.7660760719943),43.7660760719943,-79.25969357790527
Medicine Shoppe,Medicine Shoppe,Toronto,3005 Sheppard Avenue East,M1T3J5,-8829649.36723114,5430838.30340135,2794356.0,0.0006098006123772347,"3005 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.31819970869564 43.77626095217391),43.77626095217391,-79.31819970869564
Medicine Shoppe Pharmacy,Medicine Shoppe Pharmacy,Toronto,27 Tapscott Road,M1B4Y7,-8818789.1378969,5435492.26149542,2794356.0,0.0006098006123772347,"27 Tapscott Road, Toronto, Ontario, Canada",POINT (-79.2203936 43.8061449),43.8061449,-79.2203936
Medimost Pharmacy,Medimost Pharmacy,Toronto,2883 Danforth Avenue,M4C1M3,-8827028.69491083,5417540.71657981,2794356.0,0.0006098006123772347,"2883 Danforth Avenue, Toronto, Ontario, Canada",POINT (-79.29454137272727 43.689652136363634),43.689652136363634,-79.29454137272727
Medishop Pharmacy,Medishop Pharmacy,Toronto,343 Wilson Avenue,M3H1T1,-8842759.77535644,5424790.48003153,2794356.0,0.0006098006123772347,"343 Wilson Avenue, Toronto, Ontario, Canada",POINT (-79.5099973 43.7206189),43.7206189,-79.5099973
Medisystem Phamracy 6011,Medisystem Phamracy 6011,Toronto,75 Lesmill Road,M3B2T8,-8833905.43419069,5428236.67438923,2794356.0,0.0006098006123772347,"75 Lesmill Road, Toronto, Ontario, Canada",POINT (-79.35641169647059 43.7591075),43.7591075,-79.35641169647059
Medix Drug Mart,Medix Drug Mart,Toronto,2620 Eglinton Avenue East,M1K2R9,-8822293.65357825,5424737.09483409,2794356.0,0.0006098006123772347,"2620 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2519217 43.7360067),43.7360067,-79.2519217
Mednow Pharmacy,Mednow Pharmacy,Toronto,1640 Bloor Street West,M6P1A7,-8845055.82890964,5412322.24742979,2794356.0,0.0006098006123772347,"1640 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.4564141 43.65562),43.65562,-79.4564141
Medsexpert Pharmacy,Medsexpert Pharmacy,Toronto,461 Church Street,M4Y2C5,-8836528.13252573,5413634.01710603,2794356.0,0.0006098006123772347,"461 Church Street, Toronto, Ontario, Canada",POINT (-79.3802021 43.6642319),43.6642319,-79.3802021
Melimar Allergy Laboratory Inc,Melimar Allergy Laboratory Inc,Toronto,4430 Bathurst Street,M3H3S3,-8843145.24135721,5427912.04060412,2794356.0,0.0006098006123772347,"4430 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.43929372802049 43.7570172),43.7570172,-79.43929372802049
Mercury Drugs,Mercury Drugs,Toronto,3601 Lawrence Avenue East,M1G1P5,-8819108.00144632,5428302.11730827,2794356.0,0.0006098006123772347,"3601 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.2236038 43.7600356),43.7600356,-79.2236038
Meridia Medical,Meridia Medical,Toronto,1881 Yonge Street,M4S3C4,-8838333.41183988,5418774.76431918,2794356.0,0.0006098006123772347,"1881 Yonge Street, Toronto, Ontario, Canada",POINT (-79.3962383 43.6976135),43.6976135,-79.3962383
Metro Central Ultrasound and Echocardiography,Metro Central Ultrasound and Echocardiography,Toronto,27 Queen Street East,M5C2M6,-8836307.04088506,5411835.27053122,2794356.0,0.0006098006123772347,"27 Queen Street East, Toronto, Ontario, Canada",POINT (-79.3777128 43.6525726),43.6525726,-79.3777128
Metro Drugs,Metro Drugs,Toronto,129 Dundas Street East,M5B2N6,-8836112.79950558,5412443.16864395,2794356.0,0.0006098006123772347,"129 Dundas Street East, Toronto, Ontario, Canada",POINT (-79.37617171428572 43.65661828571428),43.65661828571428,-79.37617171428572
Metro Pharmacy,Metro Pharmacy,Toronto,500 Sheppard Avenue West,M2N6H7,-8842949.68640773,5427750.52171335,2794356.0,0.0006098006123772347,"500 Sheppard Avenue West, Toronto, Ontario, Canada",POINT (-79.4366073 43.7559304),43.7559304,-79.4366073
Metro Pharmacy #528,Metro Pharmacy #528,Toronto,3221 Eglinton Avenue East,M1J2H7,-8818328.05256603,5425754.13210986,2794356.0,0.0006098006123772347,"3221 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2161936 43.7433825),43.7433825,-79.2161936
Metro Pharmacy #537,Metro Pharmacy #537,Toronto,3003 Danforth Avenue,M4C1M9,-8826414.23358555,5417615.19755493,2794356.0,0.0006098006123772347,"3003 Danforth Avenue, Toronto, Ontario, Canada",POINT (-79.28900607909844 43.689662),43.689662,-79.28900607909844
Metro Pharmacy #540,Metro Pharmacy #540,Toronto,5383 Yonge Street,M2N5R6,-8840332.9547974,5430689.28258035,2794356.0,0.0006098006123772347,"5383 Yonge Street, Toronto, Ontario, Canada",POINT (-79.413934 43.7739671),43.7739671,-79.413934
Metro Pharmacy #562,Metro Pharmacy #562,Toronto,80 Front Street East,M5E1T4,-8835732.3874097,5411315.11936043,2794356.0,0.0006098006123772347,"80 Front Street East, Toronto, Ontario, Canada",POINT (-79.3727984 43.6490446),43.6490446,-79.3727984
Metro Pharmacy #572,Metro Pharmacy #572,Toronto,100 Lynn Williams Street,M6K3N6,-8840748.10970637,5409882.00504228,2794356.0,0.0006098006123772347,"100 Lynn Williams Street, Toronto, Ontario, Canada",POINT (-79.4178224561924 43.63996469999999),43.63996469999999,-79.4178224561924
Metro Pharmacy #575,Metro Pharmacy #575,Toronto,15 Ellesmere Road,M1R4B7,-8829143.63165252,5427844.70476088,2794356.0,0.0006098006123772347,"15 Ellesmere Road, Toronto, Ontario, Canada",POINT (-79.3145774625 43.757782210416664),43.757782210416664,-79.3145774625
Metro Pharmacy #577,Metro Pharmacy #577,Toronto,2155 St Clair Avenue West,M6N1K5,-8846907.27241662,5414477.74115454,2794356.0,0.0006098006123772347,"2155 St Clair Avenue West, Toronto, Ontario, Canada",POINT (-79.4731621779709 43.66957815),43.66957815,-79.4731621779709
Metro Radiology (Bay & Gerrard),Metro Radiology (Bay & Gerrard),Toronto,790 Bay Street,M5G1N8,-8837215.61943697,5413052.84553819,2794356.0,0.0006098006123772347,"790 Bay Street, Toronto, Ontario, Canada",POINT (-79.3859542 43.6604968),43.6604968,-79.3859542
Metro Radiology (Glencairn),Metro Radiology (Glencairn),Toronto,150 Eglinton Avenue East,M4P1E8,-8838117.01788172,5420344.06637905,2794356.0,0.0006098006123772347,"150 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.393978 43.707718),43.707718,-79.393978
Metro Radiology (L'Amoreaux),Metro Radiology (L'Amoreaux),Toronto,2010 Eglinton Avenue West,M6E2K3,-8844939.25513888,5418333.85128858,2794356.0,0.0006098006123772347,"2010 Eglinton Avenue West, Toronto, Ontario, Canada",POINT (-79.4555 43.6948761),43.6948761,-79.4555
Metro Radiology (L'Amoureaux),Metro Radiology (L'Amoureaux),Toronto,2010 Eglinton Avenue West,M6E2K3,-8844939.25513888,5418333.85128858,2794356.0,0.0006098006123772347,"2010 Eglinton Avenue West, Toronto, Ontario, Canada",POINT (-79.4555 43.6948761),43.6948761,-79.4555
Metro Radiology (Lakeshore),Metro Radiology (Lakeshore),Toronto,3170 Lake Shore Boulevard West,M8V3X8,-8851890.33357469,5403488.03251478,2794356.0,0.0006098006123772347,"3170 Lake Shore Boulevard West, Toronto, Ontario, Canada",POINT (-79.5179178 43.5982052),43.5982052,-79.5179178
Metro Radiology (Markham),Metro Radiology (Markham),Toronto,1371 Neilson Road,M1B4Z8,-8818828.37801739,5435976.10772115,2794356.0,0.0006098006123772347,"1371 Neilson Road, Toronto, Ontario, Canada",POINT (-79.2212397 43.8092341),43.8092341,-79.2212397
Metro Radiology (Wilson),Metro Radiology (Wilson),Toronto,1275 Finch Avenue West,M3J0L5,-8848456.92878406,5429004.64839954,2794356.0,0.0006098006123772347,"1275 Finch Avenue West, Toronto, Ontario, Canada",POINT (-79.4878935 43.7639045),43.7639045,-79.4878935
Metro Radiology Ltd.,Metro Radiology Ltd.,Toronto,2010 Eglinton Avenue West,M6E2K3,-8844939.25513888,5418333.85128858,2794356.0,0.0006098006123772347,"2010 Eglinton Avenue West, Toronto, Ontario, Canada",POINT (-79.4555 43.6948761),43.6948761,-79.4555
Michael Garron Hospital,Michael Garron Hospital - Toronto East Health Network,Toronto,825 Coxwell Avenue,M4C3E7,-8830402.82207262,5417573.81574014,2794356.0,0.0006098006123772347,"825 Coxwell Avenue, Toronto, Ontario, Canada",POINT (-79.32501790246266 43.690160250000005),43.690160250000005,-79.32501790246266
"Michael Garron Hospital, Immunodeficiency Clinic","Michael Garron Hospital, Immunodeficiency Clinic",Toronto,825 Coxwell Avenue East,M4C3E7,-8830402.82207262,5417573.81574014,2794356.0,0.0006098006123772347,"825 Coxwell Avenue East, Toronto, Ontario, Canada",POINT (-79.32501790246266 43.690160250000005),43.690160250000005,-79.32501790246266
Mid,Mid-Eg Pharmacy,Toronto,2480 Eglinton Avenue East,M1K2R4,-8823163.5931349,5424508.48950835,2794356.0,0.0006098006123772347,"2480 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2600204 43.7348724),43.7348724,-79.2600204
Mid Toronto Community Services Inc.,Mid Toronto Community Services Inc.,Toronto,192 Carlton Street,M5A2K8,-8835576.47333089,5413578.09575677,2794356.0,0.0006098006123772347,"192 Carlton Street, Toronto, Ontario, Canada",POINT (-79.3713551 43.6638542),43.6638542,-79.3713551
Midland & Steeles Medical Phar,Midland & Steeles Medical Phar,Toronto,4779 Steeles Avenue East,M1V4S5,-8827453.47895575,5438440.72887939,2794356.0,0.0006098006123772347,"4779 Steeles Avenue East, Toronto, Ontario, Canada",POINT (-79.2974888 43.8257666),43.8257666,-79.2974888
Midland Eglinton,Midland Eglinton,Toronto,2555 Eglinton Avenue East,M1K5J1,-8822874.30717418,5424430.64050402,2794356.0,0.0006098006123772347,"2555 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2569516 43.7346353),43.7346353,-79.2569516
Midland Gardens Care Community,Midland Gardens Care Community,Toronto,130 Midland Avenue,M1N4E6,-8821829.70733647,5420416.72200672,2794356.0,0.0006098006123772347,"130 Midland Avenue, Toronto, Ontario, Canada",POINT (-79.2469846 43.7077593),43.7077593,-79.2469846
Midland Pharmacy,Midland Pharmacy,Toronto,1207 Ellesmere Road,M1P2X4,-8824070.47963054,5429641.82637238,2794356.0,0.0006098006123772347,"1207 Ellesmere Road, Toronto, Ontario, Canada",POINT (-79.26814553461539 43.76842431153847),43.76842431153847,-79.26814553461539
Midtown Compounding Pharmacy,Midtown Compounding Pharmacy,Toronto,1398 Yonge Street,M4T1Y5,-8837986.85200113,5416975.43202785,2794356.0,0.0006098006123772347,"1398 Yonge Street, Toronto, Ontario, Canada",POINT (-79.40246431446722 43.73850316329772),43.73850316329772,-79.40246431446722
Midwife Alliance,Midwife Alliance,Toronto,166 The Queensway,M8Y1J2,-8848244.29742469,5408417.0768723,2794356.0,0.0006098006123772347,"166 The Queensway, Toronto, Ontario, Canada",POINT (-79.4851533 43.6303493),43.6303493,-79.4851533
Midwifery Care North Don River Valley,Midwifery Care North Don River Valley,Toronto,200 Finch Avenue West,M2R3W4,-8842349.96378303,5430904.78232649,2794356.0,0.0006098006123772347,"200 Finch Avenue West, Toronto, Ontario, Canada",POINT (-79.4319769 43.7762586),43.7762586,-79.4319769
Midwives Collective of Toronto,Midwives Collective of Toronto,Toronto,1203 Bloor Street West,M6H1N4,-8843171.79105577,5412788.50828162,2794356.0,0.0006098006123772347,"1203 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.4396153 43.6588661),43.6588661,-79.4396153
Milliken Finch Diagnostic Imaging,Milliken Finch Diagnostic Imaging,Toronto,4040 Finch Avenue East,M1S4V5,-8826955.68045683,5434919.86042725,2794356.0,0.0006098006123772347,"4040 Finch Avenue East, Toronto, Ontario, Canada",POINT (-79.2941073 43.8019855),43.8019855,-79.2941073
Milliken Wells X,Milliken Wells X-Ray and Ultrasound,Toronto,2130 Lawrence Avenue East,M1R3A6,-8826274.75026359,5426380.29875346,2794356.0,0.0006098006123772347,"2130 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.2878328 43.7469781),43.7469781,-79.2878328
Milner Healthcare Pharmacy,Milner Healthcare Pharmacy,Toronto,857 Milner Avenue,M1B5N6,-8816280.54203992,5434444.83001616,2794356.0,0.0006098006123772347,"857 Milner Avenue, Toronto, Ontario, Canada",POINT (-79.19731350604488 43.80002883975735),43.80002883975735,-79.19731350604488
Mimico Pharmacy,Mimico Pharmacy,Toronto,2408 Lake Shore Boulevard West,M8V1C4,-8848682.05019028,5406022.56235621,2794356.0,0.0006098006123772347,"2408 Lake Shore Boulevard West, Toronto, Ontario, Canada",POINT (-79.488964 43.6148096),43.6148096,-79.488964
Mina Drug Store,Mina Drug Store,Toronto,1120 Kingston Road,M1N1N8,-8825637.27919956,5416277.64890299,2794356.0,0.0006098006123772347,"1120 Kingston Road, Toronto, Ontario, Canada",POINT (-79.2307121 43.7265418),43.7265418,-79.2307121
Mister Pharmacist,Mister Pharmacist,Toronto,116 Sherbourne Street,M5A2R2,-8835356.2833781,5412002.06542195,2794356.0,0.0006098006123772347,"116 Sherbourne Street, Toronto, Ontario, Canada",POINT (-79.36935079999999 43.653722),43.653722,-79.36935079999999
Mmmc Pharmacy,Mmmc Pharmacy,Toronto,3610 McNicoll Avenue,M1X0B7,-8821802.63443631,5438324.26503708,2794356.0,0.0006098006123772347,"3610 McNicoll Avenue, Toronto, Ontario, Canada",POINT (-79.3363988 43.8040753),43.8040753,-79.3363988
Mmt Downtown Pharmacy,Mmt Downtown Pharmacy,Toronto,218 Gerrard Street East,M5A2E6,-8835534.91776498,5413225.40203662,2794356.0,0.0006098006123772347,"218 Gerrard Street East, Toronto, Ontario, Canada",POINT (-79.3709985 43.66165237142857),43.66165237142857,-79.3709985
Mobarak Guardian Pharmacy,Mobarak Guardian Pharmacy,Toronto,28 Overlea Boulevard,M4H1B6,-8833205.14553801,5419986.4944505,2794356.0,0.0006098006123772347,"28 Overlea Boulevard, Toronto, Ontario, Canada",POINT (-79.349929 43.705211),43.705211,-79.349929
Momiji Health Care Society,Momiji Health Care Society,Toronto,3555 Kingston Road,M1M3W4,-8818200.50269348,5425201.53328788,2794356.0,0.0006098006123772347,"3555 Kingston Road, Toronto, Ontario, Canada",POINT (-79.216648 43.7387915),43.7387915,-79.216648
Mon Sheong Home,Mon Sheong Home,Toronto,36 D'arcy Street,M5T1J7,-8838004.54066822,5412247.80912349,2794356.0,0.0006098006123772347,"36 D'arcy Street, Toronto, Ontario, Canada",POINT (-79.39325999536922 43.655300499999996),43.655300499999996,-79.39325999536922
Mon Sheong Home for the Aged,Mon Sheong Home for the Aged,Toronto,36 D'Arcy Street,M5T1J7,-8838004.40708484,5412247.93221239,2794356.0,0.0006098006123772347,"36 D'Arcy Street, Toronto, Ontario, Canada",POINT (-79.39325999536922 43.655300499999996),43.655300499999996,-79.39325999536922
Mon Sheong Scarborough Ltc Ctr,Mon Sheong Scarborough Ltc Ctr,Toronto,2030 McNicoll Avenue,M1V5P4,-8827634.874066,5436564.63361269,2794356.0,0.0006098006123772347,"2030 McNicoll Avenue, Toronto, Ontario, Canada",POINT (-79.2994857 43.8128599),43.8128599,-79.2994857
Mood Disorders Association of Ontario,Mood Disorders Association of Ontario,Toronto,36 Eglinton Avenue West,M4R1A1,-8838763.20581848,5420148.7854234,2794356.0,0.0006098006123772347,"36 Eglinton Avenue West, Toronto, Ontario, Canada",POINT (-79.4001466 43.7065648),43.7065648,-79.4001466
"Morana,corrado Md","Morana,corrado Md",Toronto,2130 Lawrence Avenue East,M1R3A6,-8826274.75026359,5426380.29875346,2794356.0,0.0006098006123772347,"2130 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.2878328 43.7469781),43.7469781,-79.2878328
Morelli's Pharmacy,Morelli's Pharmacy,Toronto,15 York Street,M5J0A3,-8836591.78501057,5410287.84181405,2794356.0,0.0006098006123772347,"15 York Street, Toronto, Ontario, Canada",POINT (-79.380936 43.6426866),43.6426866,-79.380936
