ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Facility_Name,"Population, 2021",Facilities_Per_Capita
Jerry's Pharmacy & Compounding,Whitby,223 Brock Street North,L1N2H6,Jerry's Pharmacy & Compounding,138501.0,0.0004476501974714984
Shoppers Drug Mart #508,Whitby,1801 Dundas Street East,L1N7C5,Shoppers Drug Mart #508,138501.0,0.0004476501974714984
Shoppers Drug Mart #1384,Whitby,220 Taunton Road East,L1R0M5,Shoppers Drug Mart #1384,138501.0,0.0004476501974714984
The Village of Taunton Mills,Whitby,3800 Brock Street North,L1R3A5,The Village of Taunton Mills,138501.0,0.0004476501974714984
Dana Pharmacy,Whitby,817 Dundas Street West,L1N2N6,Dana Pharmacy,138501.0,0.0004476501974714984
Metro Pharmacy #536,Whitby,4111 Thickson Road North,L1R2X3,Metro Pharmacy #536,138501.0,0.0004476501974714984
Philips Pharmacy,Whitby,3050 Garden Street,L1R2G7,Philips Pharmacy,138501.0,0.0004476501974714984
Shoppers Drug Mart #1517,Whitby,368 Brock Street South,L1N4K4,Shoppers Drug Mart #1517,138501.0,0.0004476501974714984
Fairview Lodge,Whitby,632 Dundas Street West,L1N5S3,Fairview Lodge,138501.0,0.0004476501974714984
Whitby Medical Pharmacy,Whitby,3910 Bruce Street North,L1R3E1,Whitby Medical Pharmacy,138501.0,0.0004476501974714984
The Medicine Shoppe #234,Whitby,3555 Thickson Road North,L1R2H1,The Medicine Shoppe #234,138501.0,0.0004476501974714984
Glen Hill Terrace,Whitby,100 Glen Hill Drive,L1N7A3,Glen Hill Terrace,138501.0,0.0004476501974714984
Medsavvy Pharmacy,Whitby,67 Fiesta Way,L1P0H9,Medsavvy Pharmacy,138501.0,0.0004476501974714984
Glen Hill Pharmacy,Whitby,80 Thickson Road South,L1N7T2,Glen Hill Pharmacy,138501.0,0.0004476501974714984
Springwood Specialty Pharmacy,Whitby,1645 Dundas Street East,L1N2K9,Springwood Specialty Pharmacy,138501.0,0.0004476501974714984
Personal Attendant Care Inc.,Whitby,1650 Dundas Street East,L1N2K8,Personal Attendant Care Inc.,138501.0,0.0004476501974714984
Regional Municipality of Durham,Whitby,605 Rossland Road East,L1N6A3,Regional Municipality of Durham,138501.0,0.0004476501974714984
Sobeys Pharmacy #7226,Whitby,1615 Dundas Street East,L1N2L1,Sobeys Pharmacy #7226,138501.0,0.0004476501974714984
Meadowglen Pharmacy,Whitby,10 Meadowglen Drive,L1R3P8,Meadowglen Pharmacy,138501.0,0.0004476501974714984
Brooklin Pharmacy,Whitby,65 Baldwin Street,L1M1A3,Brooklin Pharmacy,138501.0,0.0004476501974714984
Pharmasave Dundas Centre,Whitby,220 Dundas Street West,L1N8M7,Pharmasave Dundas Centre,138501.0,0.0004476501974714984
Shoppers Drug Mart #675,Whitby,910 Dundas Street West,L1P1P7,Shoppers Drug Mart #675,138501.0,0.0004476501974714984
Pringle Creek Pharmasave,Whitby,728 Anderson Street,L1N3V6,Pringle Creek Pharmasave,138501.0,0.0004476501974714984
Shoppers Drug Mart #1238,Whitby,4081 Thickson Road North,L1R2X3,Shoppers Drug Mart #1238,138501.0,0.0004476501974714984
Care4you Pharmacy,Whitby,1200 Rossland Road East,L1N8H3,Care4you Pharmacy,138501.0,0.0004476501974714984
Way Street Pharmacy,Whitby,72 Baldwin Street,L1M0M2,Way Street Pharmacy,138501.0,0.0004476501974714984
Whitby Health Pharmacy,Whitby,1615 Dundas Street East,L1N2L1,Whitby Health Pharmacy,138501.0,0.0004476501974714984
Lakeridge Heights Retirement Residence,Whitby,4050 Garrard Road,L1R3K8,Lakeridge Heights Retirement Residence,138501.0,0.0004476501974714984
Bloomsdale Seniors Home,Whitby,737 Anderson Street,L1N9X9,Bloomsdale Seniors Home,138501.0,0.0004476501974714984
Amica Whitby,Whitby,200 Kenneth Hobbs Avenue,L1R0G6,Amica Whitby,138501.0,0.0004476501974714984
Chartwell Colonial Retirement Residence,Whitby,101 Manning Road,L1N9M2,Chartwell Colonial Retirement Residence,138501.0,0.0004476501974714984
Aspira Lynde Creek Gardens Retirement Living,Whitby,50 Paul Burns Way,L1R2Y9,Aspira Lynde Creek Gardens Retirement Living,138501.0,0.0004476501974714984
V!VA Whitby Shores Retirement Community,Whitby,51 Whitby Shores Greenway,L1N9R1,V!VA Whitby Shores Retirement Community,138501.0,0.0004476501974714984
Ontario Shores Centre For Mental Health Sciences,Whitby,700 Gordon Street,L1N5S9,Ontario Shores Centre For Mental Health Sciences,138501.0,0.0004476501974714984
Kenora Association for Community Living,Kenora,12 Main Street,P9N1S7,Kenora Association for Community Living,14967.0,0.0016703414177857954
Kenora Sexual Assault Centre,Kenora,101 Chipman Street,P9N1V7,Kenora Sexual Assault Centre,14967.0,0.0016703414177857954
Waasegiizhig Nanaandawe'iyewigamig,Kenora,100 Park Street,P9N1Y6,Waasegiizhig Nanaandawe'iyewigamig,14967.0,0.0016703414177857954
Lake of the Woods District Hospital,Kenora,21 Wolsley Street,P9N3W7,Lake of the Woods District Hospital,14967.0,0.0016703414177857954
Changes Recovery Homes,Kenora,102 Government Road,P0X1C0,Changes Recovery Homes,14967.0,0.0016703414177857954
Kenora Chiefs Advisory Inc.,Kenora,240 Veterans Drive,P9N3W5,Kenora Chiefs Advisory Inc.,14967.0,0.0016703414177857954
Canadian Mental Health Association (CMHA) Kenora Branch,Kenora,227 Second Street South,P9N1G1,Canadian Mental Health Association (CMHA) Kenora Branch,14967.0,0.0016703414177857954
Sunset Country Family Health Team,Kenora,35 Wolsley Street,P9N3W7,Sunset Country Family Health Team,14967.0,0.0016703414177857954
Dr. Peter D. Pan Regional Laboratory,Kenora,21 Sylvan Street West,P9N3W7,Dr. Peter D. Pan Regional Laboratory,14967.0,0.0016703414177857954
Northwestern Health Unit,Kenora,210 First Street North,P9N2K4,Northwestern Health Unit,14967.0,0.0016703414177857954
Kenora District New Horizons Senior Centre,Kenora,18 Mike Richards Way,P9N1L2,Kenora District New Horizons Senior Centre,14967.0,0.0016703414177857954
Tilleys Pharmasave 492,Kenora,201 Main Street South,P9N1T3,Tilleys Pharmasave 492,14967.0,0.0016703414177857954
Johnson's Pharmacy,Kenora,116 Main Street South,P9N1S9,Johnson's Pharmacy,14967.0,0.0016703414177857954
Loblaw Pharmacy 4063,Kenora,538 Park Street,P9N1A1,Loblaw Pharmacy 4063,14967.0,0.0016703414177857954
Wiigwas Elder and Senior Care,Kenora,237 Lakeview Drive,P9N3X8,Wiigwas Elder and Senior Care,14967.0,0.0016703414177857954
Keewatin Pharmacy,Kenora,912 Ottawa Street,P0X1C0,Keewatin Pharmacy,14967.0,0.0016703414177857954
The Medicine Shoppe Phrmc 360,Kenora,700 Lakeview Drive,P9N3P7,The Medicine Shoppe Phrmc 360,14967.0,0.0016703414177857954
Kenora Medical Centre Phcy Ltd,Kenora,45 Wolsley Street,P9N3W7,Kenora Medical Centre Phcy Ltd,14967.0,0.0016703414177857954
Kenora Midwives,Kenora,35 Wolsley Avenue,P9N0H8,Kenora Midwives,14967.0,0.0016703414177857954
Northwestern Independent Living Services Inc.,Kenora,916 Ottawa Street,P0X1C0,Northwestern Independent Living Services Inc.,14967.0,0.0016703414177857954
The Board of Management of the District of Kenora Home for the Aged,Kenora,1220 Valley Drive,P9N2W7,The Board of Management of the District of Kenora Home for the Aged,14967.0,0.0016703414177857954
Alzheimer Society of Kenora and Rainy River District,Kenora,137 Main Street,P9N4B5,Alzheimer Society of Kenora and Rainy River District,14967.0,0.0016703414177857954
Shoppers Drug Mart #1355,Kenora,305 Main Street South,P9N1T4,Shoppers Drug Mart #1355,14967.0,0.0016703414177857954
Pinecrest (Kenora),Kenora,1220 Valley Drive,P9N2W7,Pinecrest (Kenora),14967.0,0.0016703414177857954
Lake-Of-The-Woods District Hospital,Kenora,21 Sylvan Street,P9N3W7,Lake,14967.0,0.0016703414177857954
Northumberland Hills Hospital,Cobourg,1000 DePalma Drive,K9A5W6,Northumberland Hills Hospital,20519.0,0.0011696476436473511
Northumberland Family Health Team,Cobourg,"1111, Elgin Street West",K9A5H7,Northumberland Family Health Team,20519.0,0.0011696476436473511
Cobourg Seniors Activity Centre,Cobourg,750 D'Arcy Street,K9A0G1,Cobourg Seniors Activity Centre,20519.0,0.0011696476436473511
A+ Compounding Pharmacy,Cobourg,541 William Street,K9A3A4,A+ Compounding Pharmacy,20519.0,0.0011696476436473511
Pharmasave Cobourg Pharmacy,Cobourg,995 Elgin Street West,K9A5J3,Pharmasave Cobourg Pharmacy,20519.0,0.0011696476436473511
Cobourg Sleep Clinic,Cobourg,197 Third Street,K9A3L5,Cobourg Sleep Clinic,20519.0,0.0011696476436473511
Cobourg X-Ray and Ultrasound,Cobourg,52 King Street West,K9A2L9,Cobourg X,20519.0,0.0011696476436473511
Extendicare/cobourg,Cobourg,130 New Densmore Road,K9A5W2,Extendicare/cobourg,20519.0,0.0011696476436473511
Streamway Villa (Carewell),Cobourg,19 James Street West,K9A2J8,Streamway Villa (Carewell),20519.0,0.0011696476436473511
Shoppers Drug Mart 1016,Cobourg,270 Spring Street,K9A3K2,Shoppers Drug Mart 1016,20519.0,0.0011696476436473511
Metro Pharmacy #550,Cobourg,1111 Elgin Street West,K9A4X5,Metro Pharmacy #550,20519.0,0.0011696476436473511
York Super Ida Pharmacy,Cobourg,500 Division Street,K9A3S4,York Super Ida Pharmacy,20519.0,0.0011696476436473511
Pharmacy 101,Cobourg,464 Division Street,K9A3S2,Pharmacy 101,20519.0,0.0011696476436473511
"Branch 133, Legion Village Inc.",Cobourg,111 Hibernia Street,K9A4Y7,"Branch 133, Legion Village Inc.",20519.0,0.0011696476436473511
Cobourg Care Pharmacy,Cobourg,609 William Street,K9A3A6,Cobourg Care Pharmacy,20519.0,0.0011696476436473511
Golden Plough Lodge,Cobourg,983 Burnham Street,K9A5J6,Golden Plough Lodge,20519.0,0.0011696476436473511
Cobourg Drug Mart,Cobourg,9 Elgin Street East,K9A0A1,Cobourg Drug Mart,20519.0,0.0011696476436473511
Extendicare Cobourg,Cobourg,130 New Densmore Road,K9A5W2,Extendicare Cobourg,20519.0,0.0011696476436473511
Streamway Villa,Cobourg,19 James Street West,K9A2J8,Streamway Villa,20519.0,0.0011696476436473511
The Landmark Assisted Living,Cobourg,130 New Densmore Road,K9A5W2,The Landmark Assisted Living,20519.0,0.0011696476436473511
Cobourg Retirement Residence,Cobourg,310 Division Street,K9A3R3,Cobourg Retirement Residence,20519.0,0.0011696476436473511
Victoria Retirement Living,Cobourg,100 University Avenue East,K9A1C8,Victoria Retirement Living,20519.0,0.0011696476436473511
James Club,Cobourg,239 James Street East,K9A0K6,James Club,20519.0,0.0011696476436473511
Palisade Gardens,Cobourg,240 Chapel Street,K9A0E3,Palisade Gardens,20519.0,0.0011696476436473511
Bulimia Anorexia Nervosa Association (BANA),Windsor,1500 Ouellette Avenue,N8X1K7,Bulimia Anorexia Nervosa Association (BANA),229660.0,0.0007881215710180266
Mental Health Consumer/Survivor Employment Association of Essex County (MHCSEAEC),Windsor,1412 Wyandotte Street East,N9A3K9,Mental Health Consumer/Survivor Employment Association of Essex County (MHCSEAEC),229660.0,0.0007881215710180266
Mental Health Connections,Windsor,370 Erie Street East,N9A3X3,Mental Health Connections,229660.0,0.0007881215710180266
Children First in Essex County,Windsor,2565 Ouellette Avenue,N8X1L9,Children First in Essex County,229660.0,0.0007881215710180266
Maryvale Adolescent and Family Services,Windsor,3640 Wells Street,N9C1T9,Maryvale Adolescent and Family Services,229660.0,0.0007881215710180266
Windsor Essex Community Health Centre,Windsor,1361 Ouellette Avenue,N8X1J6,Windsor Essex Community Health Centre,229660.0,0.0007881215710180266
Windsor Family Health Team,Windsor,2475 McDougall Street,N8X3N9,Windsor Family Health Team,229660.0,0.0007881215710180266
Erie - St. Clair Clinic Association,Windsor,1574 Lincoln Road,N8Y2J4,Erie,229660.0,0.0007881215710180266
Medical Laboratories of Windsor Limited,Windsor,5841 Malden Road,N9H1S0,Medical Laboratories of Windsor Limited,229660.0,0.0007881215710180266
Charity House (Windsor),Windsor,2335 Dougall Avenue,N8X1S9,Charity House (Windsor),229660.0,0.0007881215710180266
House of Sophrosyne,Windsor,1771 Chappell Avenue,N9C3E8,House of Sophrosyne,229660.0,0.0007881215710180266
Windsor Regional Hospital,Windsor,1030 Ouellette Avenue,N9A1E1,Windsor Regional Hospital,229660.0,0.0007881215710180266
Sexual Assault Crisis Centre of Essex County Inc.,Windsor,1770 Langlois Avenue,N8X4M5,Sexual Assault Crisis Centre of Essex County Inc.,229660.0,0.0007881215710180266
Hotel Dieu Grace Healthcare,Windsor,1086 Ouellette Avenue,N9A1E1,Hotel Dieu Grace Healthcare,229660.0,0.0007881215710180266
"Hospice of Windsor and Essex County, The",Windsor,6038 Empress Street,N8T1B5,"Hospice of Windsor and Essex County, The",229660.0,0.0007881215710180266
Canadian Mental Health Association (CMHA) Windsor-Essex County Branch,Windsor,1400 Windsor Avenue,N8X3L9,Canadian Mental Health Association (CMHA) Windsor,229660.0,0.0007881215710180266
Clear Medical Imaging,Windsor,250 Tecumseh Road East,N8X2R3,Clear Medical Imaging,229660.0,0.0007881215710180266
Windsor Vascular Lab,Windsor,3555 North Service Road East,N8W5R7,Windsor Vascular Lab,229660.0,0.0007881215710180266
Erie St. Clair Radiology (ESR) Clinics,Windsor,2224 Walker Road,N8W5L7,Erie St. Clair Radiology (ESR) Clinics,229660.0,0.0007881215710180266
Erie St. Clair Radiology Clinics,Windsor,2425 Tecumseh Road East,N8W1E6,Erie St. Clair Radiology Clinics,229660.0,0.0007881215710180266
Pozitive Pathways Community Services,Windsor,511 Pelissier Street,N9A4L2,Pozitive Pathways Community Services,229660.0,0.0007881215710180266
"Windsor Regional Hospital, Tecumseh Byng Clinic, HIV Care Program",Windsor,1275 Walker Road,N8Y4X9,"Windsor Regional Hospital, Tecumseh Byng Clinic, HIV Care Program",229660.0,0.0007881215710180266
Windsor-Essex Community Health Centre,Windsor,1361 Ouellette Avenue,N8X1J6,Windsor,229660.0,0.0007881215710180266
Family Services Windsor-Essex,Windsor,1770 Langlois Avenue,N8X4M5,Family Services Windsor,229660.0,0.0007881215710180266
"United Church Downtown Mission of Windsor Inc, The",Windsor,875 Ouellette Avenue,N9A4J6,"United Church Downtown Mission of Windsor Inc, The",229660.0,0.0007881215710180266
Hôtel-Dieu Grace Healthcare,Windsor,1453 Prince Road,N9C3Z4,Hôtel,229660.0,0.0007881215710180266
City Centre (CMHA) Community Health Centre,Windsor,1400 Windsor Avenue,N8X3L9,City Centre (CMHA) Community Health Centre,229660.0,0.0007881215710180266
Life After Fifty,Windsor,8787 McHugh Street,N8S0A1,Life After Fifty,229660.0,0.0007881215710180266
Tecumseh Golden Age Club,Windsor,12420 Lanoue Street,N8N3A5,Tecumseh Golden Age Club,229660.0,0.0007881215710180266
West Grand Pharmacy,Windsor,2950 Dougall Road,N9E1S2,West Grand Pharmacy,229660.0,0.0007881215710180266
Riverside Place,Windsor,3181 Meadowbrook Lane,N8T0A4,Riverside Place,229660.0,0.0007881215710180266
"Huron Lodge,municipal Ltc Home",Windsor,1881 Cabana Road West,N9G1C7,"Huron Lodge,municipal Ltc Home",229660.0,0.0007881215710180266
Sandwich Pharmacy,Windsor,3211 Sandwich Street,N9C1A9,Sandwich Pharmacy,229660.0,0.0007881215710180266
Riverside Pharmacare Drug Mart,Windsor,7775 Wyandotte Street East,N8S1S6,Riverside Pharmacare Drug Mart,229660.0,0.0007881215710180266
Jackson Park Pharmacy,Windsor,2475 Mcdougall Avenue,N8X3N9,Jackson Park Pharmacy,229660.0,0.0007881215710180266
Central Mall Drug Mart,Windsor,3691 Tecumseh Road East,N8W1H8,Central Mall Drug Mart,229660.0,0.0007881215710180266
Berkshire Care Centre,Windsor,350 Dougall Avenue,N9A4P4,Berkshire Care Centre,229660.0,0.0007881215710180266
Goyeau Pharmacy Inc,Windsor,1078 Goyeau Street,N9A1J1,Goyeau Pharmacy Inc,229660.0,0.0007881215710180266
Loblaw Pharmacy # 573,Windsor,400 Manning Road,N8N4Z4,Loblaw Pharmacy # 573,229660.0,0.0007881215710180266
Forest Glade Phacmacy,Windsor,3145 Forest Glade Drive,N8R1W6,Forest Glade Phacmacy,229660.0,0.0007881215710180266
Windsor Allergy Extracts,Windsor,1407 Ottawa Street,N8X2G1,Windsor Allergy Extracts,229660.0,0.0007881215710180266
Ida Tlc Pharmacy,Windsor,11811 Tecumseh Road East,N8N1L8,Ida Tlc Pharmacy,229660.0,0.0007881215710180266
Healthtrust Pharmacy,Windsor,871 Ottawa Street,N8X2C9,Healthtrust Pharmacy,229660.0,0.0007881215710180266
Parent Avenue Medical Pharmacy,Windsor,860 Tecumseh Road East,N8X2S5,Parent Avenue Medical Pharmacy,229660.0,0.0007881215710180266
Provincial Pharmacy,Windsor,1400 Provicial Road,N8W5W1,Provincial Pharmacy,229660.0,0.0007881215710180266
Tamimi Healthcare Pharmacy Ltd,Windsor,1190 Tecumseh Road East,N8W1B4,Tamimi Healthcare Pharmacy Ltd,229660.0,0.0007881215710180266
Hunters Pharmacy,Windsor,3019 Tecumseh Road East,N8W1G8,Hunters Pharmacy,229660.0,0.0007881215710180266
Lincoln Road Pharmacy Limited,Windsor,1574 Lincoln Road,N8Y2J4,Lincoln Road Pharmacy Limited,229660.0,0.0007881215710180266
Loblaw Pharmacy # 2827,Windsor,2430 Dougall Avenue,N8X1T2,Loblaw Pharmacy # 2827,229660.0,0.0007881215710180266
Carerx Windsor,Windsor,3215 Jefferson Boulevard,N8T2W7,Carerx Windsor,229660.0,0.0007881215710180266
Ida Prescription Centre,Windsor,1909 Tecumseh Road East,N8W1C9,Ida Prescription Centre,229660.0,0.0007881215710180266
Dmc Pharmacy,Windsor,3335 Dougall Avenue,N9E1S8,Dmc Pharmacy,229660.0,0.0007881215710180266
The Drive Pharmacy,Windsor,7875 Riverside Drive,N8S1E1,The Drive Pharmacy,229660.0,0.0007881215710180266
Roseville Medical Pharmacy Ltd,Windsor,2525 Roseville Garden Drive,N8T3J8,Roseville Medical Pharmacy Ltd,229660.0,0.0007881215710180266
Lifestyle Pharmacy & Candy Bar,Windsor,3850 Dougall Avenue,N9G1X2,Lifestyle Pharmacy & Candy Bar,229660.0,0.0007881215710180266
Windsor Medical Pharmacy,Windsor,2224 Walker Road,N8W5L7,Windsor Medical Pharmacy,229660.0,0.0007881215710180266
Health First Phcy Pharmachoice,Windsor,5565 Wyandotte Street East,N8S4T9,Health First Phcy Pharmachoice,229660.0,0.0007881215710180266
Anwist Diagnostics Inc.,Windsor,1720 Howard Avenue,N8X5A6,Anwist Diagnostics Inc.,229660.0,0.0007881215710180266
Dr. Carman M. Iannicello,Windsor,880 North Service Road,N8X3J5,Dr. Carman M. Iannicello,229660.0,0.0007881215710180266
2858737 Ontario Ltd.,Windsor,2464 Howard Avenue,N8X3V6,2858737 Ontario Ltd.,229660.0,0.0007881215710180266
Precision Diagnostic Imaging,Windsor,2462 Howard Avenue,N8X3V6,Precision Diagnostic Imaging,229660.0,0.0007881215710180266
Windsor Sleep Disorders Clinic,Windsor,55 Edinborough Street,N8X3C3,Windsor Sleep Disorders Clinic,229660.0,0.0007881215710180266
Edinborough Street Radiology Inc.,Windsor,2475 McDougall Street,N8X3N9,Edinborough Street Radiology Inc.,229660.0,0.0007881215710180266
Essex County Respiratory Services,Windsor,1695 Manning Road,N8N2L9,Essex County Respiratory Services,229660.0,0.0007881215710180266
Windsor Crossing Pharmasave,Windsor,2055 Sandwich West Parkway,N9H2S4,Windsor Crossing Pharmasave,229660.0,0.0007881215710180266
Shoppers Drug Mart #1102,Windsor,7980 Menard Street,N8S1V9,Shoppers Drug Mart #1102,229660.0,0.0007881215710180266
Shoppers Drug Mart #1126,Windsor,500 Manning Road,N8N5H3,Shoppers Drug Mart #1126,229660.0,0.0007881215710180266
Neighbourhood Drug Store,Windsor,493 Wyandotte Street East,N9A3H8,Neighbourhood Drug Store,229660.0,0.0007881215710180266
Shoppers Drug Mart #1107,Windsor,1675 Wyandotte Street West,N9B1H8,Shoppers Drug Mart #1107,229660.0,0.0007881215710180266
Windsor Regional Cancer Centre,Windsor,2220 Kildare Road,N8W2X3,Windsor Regional Cancer Centre,229660.0,0.0007881215710180266
Shoppers Simply Pharmacy,Windsor,1270 Walker Road,N8Y4T4,Shoppers Simply Pharmacy,229660.0,0.0007881215710180266
Tecumseh Pharmasave,Windsor,13126 Tecumseh Road East,N8N3T4,Tecumseh Pharmasave,229660.0,0.0007881215710180266
Pharmasave Westside Pharmacy,Windsor,1550 Huron Church Road,N9C3Z3,Pharmasave Westside Pharmacy,229660.0,0.0007881215710180266
We Care Pharmacy,Windsor,1030 Ouellette Avenue,N9A1E1,We Care Pharmacy,229660.0,0.0007881215710180266
Loblaw Pharmacy # 521,Windsor,5890 Malden Road,N9H1S4,Loblaw Pharmacy # 521,229660.0,0.0007881215710180266
The Village at St. Clair,Windsor,1800 Talbot Road,N9A6S4,The Village at St. Clair,229660.0,0.0007881215710180266
Howard Medical Pharmacy,Windsor,2285 Howard Avenue,N8X3V2,Howard Medical Pharmacy,229660.0,0.0007881215710180266
Community Care Pharmacy,Windsor,3095 Forest Glade Drive,N8R1W6,Community Care Pharmacy,229660.0,0.0007881215710180266
Mcgaffey Medical Pharmacy,Windsor,3955 Tecumseh Road East,N8W1J5,Mcgaffey Medical Pharmacy,229660.0,0.0007881215710180266
Sobeys Pharmacy #7216,Windsor,19 Amy Croft Drive,N9K1C7,Sobeys Pharmacy #7216,229660.0,0.0007881215710180266
Ultima's Apothecary,Windsor,2710 Howard Avenue,N8X1L9,Ultima's Apothecary,229660.0,0.0007881215710180266
Extendicare/southwood Lakes,Windsor,1255 North Talbot Road,N9G3A4,Extendicare/southwood Lakes,229660.0,0.0007881215710180266
Downtown Windsor Pharmacy,Windsor,100 Park Street West,N9A7A5,Downtown Windsor Pharmacy,229660.0,0.0007881215710180266
Windsor River Pharmacy,Windsor,671 Wyandotte Street East,N9A3J3,Windsor River Pharmacy,229660.0,0.0007881215710180266
Church Street Pharmacy,Windsor,366 Wyandotte Street West,N9A5X2,Church Street Pharmacy,229660.0,0.0007881215710180266
Shoppers Drug Mart #1112,Windsor,5050 Tecumseh Road East,N8T1C1,Shoppers Drug Mart #1112,229660.0,0.0007881215710180266
Clinix + Pharmacy,Windsor,475 Tecumseh Road East,N8X4W5,Clinix + Pharmacy,229660.0,0.0007881215710180266
Wyandotte Medical Pharmacy Ltd,Windsor,7885 Wyandotte Street East,N8S1S6,Wyandotte Medical Pharmacy Ltd,229660.0,0.0007881215710180266
City Centre Pharmacy,Windsor,500 Wyandotte Street East,N9A3H9,City Centre Pharmacy,229660.0,0.0007881215710180266
Walker Road Pharmacy.,Windsor,3538 Walker Road,N8W3S4,Walker Road Pharmacy.,229660.0,0.0007881215710180266
Trinity Pharmacy,Windsor,321 Tecumseh Road East,N8X2R5,Trinity Pharmacy,229660.0,0.0007881215710180266
Grand Marais Pharmacy,Windsor,2930 Dominion Boulevard,N9E2M8,Grand Marais Pharmacy,229660.0,0.0007881215710180266
Eastown Pharmacy,Windsor,2050 Lauzon Road,N8T2Z3,Eastown Pharmacy,229660.0,0.0007881215710180266
Yee Pharmacy Ltd.,Windsor,165 Goyeau Street,N9A1G5,Yee Pharmacy Ltd.,229660.0,0.0007881215710180266
Costco Pharmacy #534,Windsor,4411 Walker Road,N9A6J3,Costco Pharmacy #534,229660.0,0.0007881215710180266
Shoppers Drug Mart #1132,Windsor,500 Tecumseh Road East,N8X2S2,Shoppers Drug Mart #1132,229660.0,0.0007881215710180266
Fontainebleu Pharmacy,Windsor,2901 Grandview Avenue,N8T2L5,Fontainebleu Pharmacy,229660.0,0.0007881215710180266
Shoppers Drug Mart #1118,Windsor,11500 Tecumseh Road,N8N1L7,Shoppers Drug Mart #1118,229660.0,0.0007881215710180266
Rexall #8121,Windsor,5881 Malden Road,N9H1S5,Rexall #8121,229660.0,0.0007881215710180266
Rexall #8124,Windsor,1215 Ouellette Avenue,N8X1J3,Rexall #8124,229660.0,0.0007881215710180266
Rexall #8126,Windsor,3840 Howard Avenue,N9E3N9,Rexall #8126,229660.0,0.0007881215710180266
Rexall #8128,Windsor,1454 Ouellette Avenue,N8X1K3,Rexall #8128,229660.0,0.0007881215710180266
Heron Terrace Ltc Community,Windsor,11550 Mcnorton Street,N8P1T9,Heron Terrace Ltc Community,229660.0,0.0007881215710180266
Rob's Whole Health Pharmacy,Windsor,1765 Sprucewood Avenue,N9J1X7,Rob's Whole Health Pharmacy,229660.0,0.0007881215710180266
Dougall Pharmacy,Windsor,3020 Dougall Avenue,N9E1S4,Dougall Pharmacy,229660.0,0.0007881215710180266
Essential Pharmacy W Windsor,Windsor,2055 Huron Church Road,N9C2L6,Essential Pharmacy W Windsor,229660.0,0.0007881215710180266
Student Centre Pharmacy,Windsor,401 Sunset Boulevard,N9B3P4,Student Centre Pharmacy,229660.0,0.0007881215710180266
Rose City Pharmacy,Windsor,402 Wyandotte Street West,N9A5X4,Rose City Pharmacy,229660.0,0.0007881215710180266
Loblaw Pharmacy # 529,Windsor,7201 Tecumseh Road East,N8T3K4,Loblaw Pharmacy # 529,229660.0,0.0007881215710180266
Shoppers Drug Mart #760,Windsor,3100 Howard Avenue,N8X3Y8,Shoppers Drug Mart #760,229660.0,0.0007881215710180266
Ouellette Avenue Pharmacy,Windsor,1103 Ouellette Avenue,N9A4K1,Ouellette Avenue Pharmacy,229660.0,0.0007881215710180266
Erie Health & Wellness Phrmacy,Windsor,101 Erie Street East,N9A3W6,Erie Health & Wellness Phrmacy,229660.0,0.0007881215710180266
Essential Pharmacy,Windsor,6525 Malden Road,N9H1T5,Essential Pharmacy,229660.0,0.0007881215710180266
Ziter Pharmachoice,Windsor,2462 Howard Avenue,N8X3V6,Ziter Pharmachoice,229660.0,0.0007881215710180266
Loblaw Pharmacy #567,Windsor,4371 Walker Road,N8W3T6,Loblaw Pharmacy #567,229660.0,0.0007881215710180266
Shoppers Drug Mart 1467,Windsor,1760 Huron Church Road,N9C2C4,Shoppers Drug Mart 1467,229660.0,0.0007881215710180266
Advantage Drug Mart,Windsor,4900 Wyandotte Street East,N8Y1H7,Advantage Drug Mart,229660.0,0.0007881215710180266
Tecumseh Pharmacy Plus,Windsor,13390 Lanoue Street,N8N5E1,Tecumseh Pharmacy Plus,229660.0,0.0007881215710180266
Shoppers Drug Mart #761,Windsor,7720 Tecumseh Road East,N8T1E9,Shoppers Drug Mart #761,229660.0,0.0007881215710180266
Banwell Pharmacy,Windsor,11400 Tecumseh Road East,N8N1L7,Banwell Pharmacy,229660.0,0.0007881215710180266
West Tecumseh Pharmacy,Windsor,1800 Tecumseh Road West,N9B3T2,West Tecumseh Pharmacy,229660.0,0.0007881215710180266
Twin Oaks Pharmacy,Windsor,8100 Twin Oaks Drive,N8N5C2,Twin Oaks Pharmacy,229660.0,0.0007881215710180266
Walker Centre Pharmacy,Windsor,3719 Walker Road,N8W3S9,Walker Centre Pharmacy,229660.0,0.0007881215710180266
Totten Pharmacy,Windsor,2780 Totten Street,M9B0A9,Totten Pharmacy,229660.0,0.0007881215710180266
Ottawa Street Pharmacy,Windsor,1535 Ottawa Street,N8X2G3,Ottawa Street Pharmacy,229660.0,0.0007881215710180266
Hdgh Prince Road Pharmacy,Windsor,1453 Prince Road,N9C3Z4,Hdgh Prince Road Pharmacy,229660.0,0.0007881215710180266
Family Health Pharmacy West,Windsor,1604 Tecumseh Road West,N9B1T8,Family Health Pharmacy West,229660.0,0.0007881215710180266
Family Health Pharmacy,Windsor,6720 Hawthorne Drive,N8T1J9,Family Health Pharmacy,229660.0,0.0007881215710180266
